AOBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
392,Julian Abele Park,Julian Abele Park,Julian Abele Park,923 S 22ND ST,Land,Park- Mini, ,12379.50685,0.28419551,19146, , , ,12-Nov-13,Vanessa Miller,PPR,,Julian Abele Park
393,Ralph Brooks Park,Ralph Brooks Park,Ralph Brooks Park,1601-13 S 20TH ST,Land,Park- Mini, ,12240.01914,0.2809933,19145, , , ,12-Nov-13,Vanessa Miller,PPR,,Ralph Brooks Park
394,Gilbert Stuart Park,Gilbert Stuart Park,Gilbert Stuart Park,5132 GERMANTOWN AVE,Land,Park- Mini, ,11941.72238,0.27414532,19144, , , ,12-Nov-13,Vanessa Miller,PPR,,Gilbert Stuart Park
395,Nicetown Park,Nicetown Park,Nicetown Park,4369-71 GERMANTOWN AVE,Land,Park- Mini, ,10822.37968,0.24844864,19140, , , ,12-Nov-13,Vanessa Miller,PPR,,Nicetown Park
396,West Oak Lane Senior Center,West Oak Lane Senior Center,West Oak Lane Senior Center,7210 OGONTZ AVE,Land,Older Adult Center, ,10816.10513,0.2483046,19138, , , ,12-Nov-13,Vanessa Miller,PPR,,West Oak Lane Senior Center
397,Mummers Museum,Mummers Museum,Mummers Museum,200-10 WASHINGTON AVE,Land,Museum, ,10802.00268,0.24798085,19147, , , ,12-Nov-13,Vanessa Miller,PPR,,Mummers Museum
398,Diamond Park,Diamond Park,Diamond Park,1736-44 DIAMOND ST,Land,Park- Mini, ,10786.54089,0.2476259,19121, , , ,12-Nov-13,Vanessa Miller,PPR,,Diamond Park
399,Wolf Park,Wolf Park,Wolf Park,7018 MC CALLUM ST,Land,Park- Mini, ,10354.14619,0.23769944,19119, , , ,12-Nov-13,Vanessa Miller,PPR,,Wolf Park
400,Betsy Ross House,Betsy Ross House,Betsy Ross House,239 ARCH ST,Land,Historic House, ,10288.35618,0.2361891,19106, , , ,12-Nov-13,Vanessa Miller,PPR,,Betsy Ross House
401,Bardascino Park,Bardascino Park,Bardascino Park,1000 S 10TH ST,Land,Park- Mini, ,10171.97925,0.23351745,19147, , , ,12-Nov-13,Vanessa Miller,PPR,,Bardascino Park
402,Donnelly Park,Donnelly Park,Donnelly Park,230-34 DICKINSON ST,Land,Park- Mini, ,10151.42281,0.23304553,19147, , , ,12-Nov-13,Vanessa Miller,PPR,,Donnelly Park
403,3rd & Norris Playground,3rd & Norris Playground,3rd & Norris Playground,253-73 W NORRIS ST,Land,Recreation Site, ,10141.17649,0.23281031,19122, , , ,12-Nov-13,Vanessa Miller,PPR,,3rd & Norris 
404,Hart Playground,Hart Playground,Hart Playground,1315-21 N 04TH ST,Land,Recreation Site, ,9879.089384,0.22679359,19122, , , ,12-Nov-13,Vanessa Miller,PPR,,Hart 
405,Montgomery & Croskey Playground,Montgomery & Croskey Playground,Montgomery & Croskey Playground,2225-37 W MONTGOMERY AVE,Land,Recreation Site, ,8937.644208,0.2051809,19121, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Acelero, Inc.",Montgomery & Croskey 
406,Palumbo Park,Palumbo Park,Palumbo Park,723 CATHARINE ST,Land,Park- Mini, ,8866.159207,0.20353982,19147, , , ,12-Nov-13,Vanessa Miller,PPR,,Palumbo Park
407,Hamilton Park,Hamilton Park,Hamilton Park,547 RISING SUN AVE,Land,Park- Mini, ,7768.040798,0.17833039,19140, , , ,12-Nov-13,Vanessa Miller,PPR,,Hamilton Park
408,Buckley Park,Buckley Park,Buckley Park,8199 GERMANTOWN AVE,Land,Park- Mini, ,7539.676995,0.17308786,19118, , , ,12-Nov-13,Vanessa Miller,PPR,,Buckley Park
409,John C. Anderson Cultural Center,John C. Anderson Cultural Center,John C. Anderson Cultural Center,5323 OVERBROOK AVE,Land,Other, ,6840.103752,0.1570278,19131, , , ,12-Nov-13,Vanessa Miller,PPR,,Anderson 
410,Mantua Community Garden,Mantua Community Garden,Mantua Community Garden,520 N 34TH ST,Land,Other, ,6697.373668,0.15375116,19104, , , ,12-Nov-13,Vanessa Miller,PPR,,Mantua Community Garden
411,Newhall Park,Newhall Park,Newhall Park,5322 NEWHALL ST,Land,Park- Mini, ,6088.511966,0.13977356,19144, , , ,12-Nov-13,Vanessa Miller,PPR,,Newhall Park
412,Madison War Memorial,Madison War Memorial,Madison War Memorial,563-65 N 02ND ST,Land,Park- Mini, ,5867.133801,0.1346914,19123, , , ,12-Nov-13,Vanessa Miller,PPR,,Madison War Memorial
413,22nd & Ontario Playground,22nd & Ontario Playground,22nd & Ontario Playground,3400-02 N 22ND ST,Land,Recreation Site, ,4562.619456,0.10474375,19140, , , ,12-Nov-13,Vanessa Miller,PPR,,22nd & Ontario 
414,Paolone Park,Paolone Park,Paolone Park,732 SEARS ST,Land,Park- Mini, ,4118.934658,0.09455811,19147, , , ,12-Nov-13,Vanessa Miller,PPR,,Paolone Park
415,Howard & Reed Park,Howard & Reed Park,Howard & Reed Park,105 REED ST,Land,Park- Mini, ,3790.598992,0.08702053,19147, , , ,12-Nov-13,Vanessa Miller,PPR,,Howard & Reed Park
416,Daly Park,Daly Park,Daly Park,1240 W SEDGELY AVE,Land,Park- Mini, ,3717.502796,0.08534246,19133, , , ,12-Nov-13,Vanessa Miller,PPR,,Daly Park
417,Beck Park,Beck Park,Beck Park,839 S 02ND ST,Land,Park- Mini, ,3235.428669,0.07427552,19147, , , ,12-Nov-13,Vanessa Miller,PPR,,Beck Park
418,Coxe Park,Coxe Park,Coxe Park,2132-34 CHERRY ST,Land,Park- Mini, ,3177.473392,0.07294504,19103, , , ,12-Nov-13,Vanessa Miller,PPR,,Coxe Park
419,Bringhurst Park,Bringhurst Park,Bringhurst Park,200 E BRINGHURST ST,Land,Park- Mini, ,2849.662377,0.06541951,19144, , , ,12-Nov-13,Vanessa Miller,PPR,,Bringhurst Park
420,Greble Post (War Memorial),Greble Post (War Memorial),Greble Post (War Memorial),1327 S 03RD ST,Land,Statue\Monument\Sculpture,Historic Structure,2176.738822,0.04997125,19147, , , ,12-Nov-13,Vanessa Miller,PPR,,
421,Jeanes & Rhawn War Memorial,Jeanes & Rhawn War Memorial,Jeanes & Rhawn War Memorial,501 RHAWN ST,Land,Statue\Monument\Sculpture,Historic Structure,2120.007201,0.04866886,19111, , , ,12-Nov-13,Vanessa Miller,PPR,,Jeanes & Rhawn War Memorial
422,18th and Jackson War Memorial,18th and Jackson War Memorial,18th and Jackson War Memorial,1800 W PASSYUNK AVE,Land,Statue\Monument\Sculpture,Historic Structure,1181.186071,0.02711641,19145, , , ,12-Nov-13,Vanessa Miller,PPR,,18th and Jackson War Memorial
423,22nd & Catherine Park,22nd & Catherine Park,22nd & Catherine Park,2200 CATHARINE ST,Land,Park- Mini, ,901.1586811,0.02068784,19146, , , ,12-Nov-13,Vanessa Miller,PPR,,22nd & Catherine Park
424,Boone Park,Boone Park,Boone Park,4200 BOONE ST,Land,Park- Watershed\Conservation, ,75656.3051,1.73683672,19128, , , ,12-Nov-13,Vanessa Miller,PPR,,Boone Park
425,I-95 Park,I-95 Park,I-95 Park,,Land,Park- Linear\Parkway, ,612441.7918,14.05978516,19147, ,1976, ,08-Aug-14,Nora Dougherty,PPR,,I-95 Park
426,Pulaski Park,Pulaski Park,Pulaski Park,3001 E ALLEGHENY AVE,Land,Park- Mini, ,55752.61461,1.27990904,19134, , , ,12-Nov-13,Vanessa Miller,PPR,,Pulaski Park
427,Manton Street Park,Manton Street Park,Manton Street Park,405-11 MANTON ST,Land,Park- Mini, ,2945.497008,0.06761958,19147, ,2012, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Not Listed,Manton Street Park
428,Cecil B. Moore Recreation Center,Cecil B. Moore Recreation Center,Cecil B. Moore Recreation Center,2020-50 W LEHIGH AVE,Land,Recreation Center, ,93133.87089,2.13806803,19132, , , ,26-Jun-14,Nora Dougherty,PPR,,C.B. Moore 
429,Japanese Gardens,Japanese Gardens,West Fairmount Park,4301 LANSDOWNE DR,Land,Gardens,Regional\Watershed,45998.53955,1.05598539,19131, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Friends of the Japanese House and Garden,
430,61st & Cobbs Creek,61st & Cobbs Creek,Cobbs Creek Park,61st & COBBS CREEK,Land,Recreation Site, ,291411.4076,6.68991215,19143, , , ,12-Nov-13,Vanessa Miller,PPR,,61st & Cobbs Creek
431,Ashburn Field Dugout,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3500 S Broad St,Building,Dugout,,471.0973523,0.01081495,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
432,Rest Rooms,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3500 S Broad St,Building,Restrooms,,755.5067872,0.01734412,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
433,FDR Pool Concession Building,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,1605 FDR PKY,Building,Concessions\Retail\Cafe,,862.693853,0.0198048,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
434,FDR Pool Locker Room,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,1601 FDR PKY,Building,Multi-Use Bldg,Multi-Use Bldg,14310.75877,0.32853113,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
435,"District #7 Op and Maint HQ, FDR Park",Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,1607 FDR PKY,Building,Garage\Maintenance\Storage Bldg,Historic Building,14230.27074,0.32668337,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
436,FDR  Park Boathouse,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,1900 FDR PKY,Building,Boathouse,Historic Building,9196.147122,0.21111533,19145,Boat House Pavilion #09 FDR, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
437,FDR Golf Course Clubhouse,Franklin D. Roosevelt Golf Course,Franklin D. Roosevelt Park,3500 S Broad St,Building,Multi-Use Bldg,Multi-Use Bldg,5301.389105,0.12170363,19145, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",
438,FDR Golf Course Maintenance and Car Barn,Franklin D. Roosevelt Golf Course,Franklin D. Roosevelt Park,3500 S Broad St,Building,Garage\Maintenance\Storage Bldg,,8447.680133,0.19393283,19145, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",
439,Bellaire Manor,Franklin D. Roosevelt Golf Course,Franklin D. Roosevelt Park,2000 PATTISON AVE,Building,Historic House,Historic Building,1136.818304,0.02609786,19145, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Bellaire Manor
440,Bellaire Manor Bakehouse,Franklin D. Roosevelt Golf Course,Franklin D. Roosevelt Park,2000 PATTISON AVE,Building,Historic House,Historic Building,534.170453,0.01226292,19145, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
441,FDR Park Police Building,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,1600 PATTISON AVE,Building,Multi-Use Bldg,Historic Building,17051.72112,0.39145522,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
442,American-Swedish Historical Museum,American-Swedish Historical Museum,Franklin D. Roosevelt Park,1900 PATTISON AVE,Building,Museum,Historic Building,10663.80507,0.24480826,19145, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,American Swedish Historical Foundation,American-Swedish Historical Museum
443,Cibotti Recreation Center Building,Cibotti Recreation Center,Cibotti Recreation Center,2500 S 77TH ST,Building,Recreation Bldg,,3643.830402,0.08365117,19153, , ,,12-Nov-13,Vanessa Miller,PPR,,
444,James Finnegan Pool Building,James Finnegan Playground,James Finnegan Playground,6801 GROVERS AVE,Building,Garage\Maintenance\Storage Bldg,,2303.491235,0.05288109,19142, , ,,12-Nov-13,Vanessa Miller,PPR,,
445,James Finnegan Playground Building,James Finnegan Playground,James Finnegan Playground,6801 GROVERS AVE,Building,Recreation Bldg,,3397.683619,0.0780004,19142, , ,,12-Nov-13,Vanessa Miller,PPR,,
446,Barry Playground Building 2,Barry Playground,Barry Playground,1800 JOHNSTON ST,Building,Recreation Bldg,,890.1658985,0.02043548,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
447,Blue Bell Tavern,Cobbs Creek Park,Cobbs Creek Park,7303 WOODLAND AVE,Building,Multi-Use Bldg,Historic Building,545.8723011,0.01253155,19142, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease-caretaker,Blue Bell Tavern
448,Barry Playground Building 1,Barry Playground,Barry Playground,1800 JOHNSTON ST,Building,Recreation Bldg,,2834.278294,0.06506634,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
449,Murphy Recreation Center Building,Murphy Recreation Center,Murphy Recreation Center,300 SHUNK ST,Building,Recreation Bldg,,10384.43615,0.2383948,19148, , ,,12-Nov-13,Vanessa Miller,PPR,,
450,Tenaglia Bocce Courts Building,Marconi Plaza,Marconi Plaza,2701 S BROAD ST,Building,Athletic,Multi-Use Bldg,2435.400656,0.05590933,19148, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Bocci Club,
451,Stephen Girard Smokehouse,Girard Estates Park ,Girard Estates Park ,2100 SHUNK ST,Building,Multi-Use Bldg,Multi-Use Bldg,370.115886,0.00849673,19145, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Dave Nelson caretaker,
452,The Place (Stephen Girard Farmhouse),Girard Estates Park ,Girard Estates Park ,2100 SHUNK ST,Building,Historic House,Multi-Use Bldg,2096.815458,0.04813645,19145, , ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,Dave Nelson caretaker,
453,Stephen Girard Toilet Building,Girard Estates Park ,Girard Estates Park ,2100 SHUNK ST,Building,Garage\Maintenance\Storage Bldg,,423.1688516,0.00971466,19145, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Dave Nelson caretaker,
454,Burke Playground Building,Burke Playground,Burke Playground,200 SNYDER AVE,Building,Recreation Bldg,,8089.44665,0.18570888,19148, , ,,12-Nov-13,Vanessa Miller,PPR,,
455,Guerin Recreation Center Building,Guerin Recreation Center,Guerin Recreation Center,2201 S 16TH ST,Building,Recreation Bldg,,15154.29113,0.34789605,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
456,Guerin Recreation Center Building 2,Guerin Recreation Center,Guerin Recreation Center,2201 S 16TH ST,Building,Recreation Bldg,,4935.529205,0.11330461,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
457,Ford P.A.L. Recreation Center Building,Ford Recreation Center,Ford Recreation Center,609-39 SNYDER AVE,Building,Recreation Bldg,,6105.983093,0.14017464,19148, , ,,12-Nov-13,Vanessa Miller,PPR,,
458,McCreesh Playground Building,McCreesh Playground,McCreesh Playground,6744 REGENT ST,Building,Recreation Bldg,,4222.299279,0.09693104,19142, , ,,12-Nov-13,Vanessa Miller,PPR,,
459,Smith Playground Building,Smith Playground,Smith Playground,2200 S 24TH ST,Building,Recreation Bldg,,15890.46721,0.36479639,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
460,East Passyunk Community Recreation Center Building,East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,1025-33 MIFFLIN ST,Building,Recreation Bldg,,16161.14677,0.37101036,19148, , ,,12-Nov-13,Vanessa Miller,PPR,,
461,Dickinson Square Playground Building,Dickinson Square,Dickinson Square,1600 E MOYAMENSING AVE,Building,Recreation Bldg,,2069.165456,0.04750169,19148, , ,,12-Nov-13,Vanessa Miller,PPR,,
462,DiSilvestro Playground Building 3,DiSilvestro Playground,DiSilvestro Playground,1700 S BROAD ST,Building,Recreation Bldg,,2485.741778,0.05706501,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
463,DiSilvestro Playground Building 2,DiSilvestro Playground,DiSilvestro Playground,1700 S BROAD ST,Building,Recreation Bldg,,21175.23459,0.48611844,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
464,DiSilvestro Playground Building 1,DiSilvestro Playground,DiSilvestro Playground,1700 S BROAD ST,Building,Recreation Bldg,,7490.26448,0.1719535,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
465,Bartram's Garden Picnic Shelter,Bartram's Garden,Bartram's Garden,5477 BARTRAM RD,Building,Pavilion\Shelter,Historic Building,1184.026227,0.02718161,19143, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,
466,Vare Recreation Center Building,Vare Recreation Center,Vare Recreation Center,2600 MORRIS ST,Building,Recreation Bldg,Historic Building,13036.04505,0.29926761,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,
467,John Bartram House,Bartram's Garden,Bartram's Garden,5443 BARTRAM RD,Building,Historic House,Historic Building,2045.483908,0.04695804,19143, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,John Bartram House
468,Bartram's Gardens Carriage House,Bartram's Garden,Bartram's Garden,5423 BARTRAM DR,Building,Historic House,Historic Building,2733.594729,0.06275495,19143, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,
469,Bartram's Gardens Gift Shop,Bartram's Garden,Bartram's Garden,5405 BARTRAM DR,Building,Multi-Use Bldg,Historic Building,1267.389574,0.02909538,19143, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,
470,South Philadelphia Older Adults Center Building,South Philadelphia Older Adults Center,South Philadelphia Older Adults Center,1430 E PASSYUNK AVE,Building,Older Adult Center,,10473.93276,0.24044937,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
471,Bartram's Gardens Barn,Bartram's Garden,Bartram's Garden,5401 BARTRAM DR,Building,Barn,Historic Building,1649.003052,0.03785605,19143, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,
472,Bartram's Garden Administrative Offices,Bartram's Garden,Bartram's Garden,5302 HARLEY AVE,Building,Multi-Use Bldg,Multi-Use Bldg,3392.867441,0.07788983,19143, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,
473,Bartrams Garden's Barn 1,Bartram's Garden,Bartram's Garden,5302 HARLEY AVE,Building,Barn,,1889.604123,0.04337952,19143, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,
474,Francis Myers Recreation Center,Francis Myers Recreation Center,Francis Myers Recreation Center,5800 CHESTER AVE,Building,Recreation Bldg,,19434.79045,0.44616318,19143, , ,,12-Nov-13,Vanessa Miller,PPR,,
475,Columbus Square Playground Building,Columbus Square,Columbus Square,1200 WHARTON ST,Building,Recreation Bldg,,4484.427982,0.10294871,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
476,Rizzo Ice Rink,Rizzo Ice Rink,Rizzo Ice Rink,1101 S FRONT ST,Building,Ice Rink,,13794.18716,0.31667223,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
477,Sacks Playground Building,Sacks Playground,Sacks Playground,400 WASHINGTON AVE,Building,Recreation Bldg,,731.2668901,0.01678764,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
478,Capitolo Playground Building,Capitolo Playground,Capitolo Playground,900 FEDERAL ST,Building,Recreation Bldg,,4485.217325,0.10296683,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,Capitolo  
479,Wharton Square Playground Building,Wharton Square Playground,Wharton Square Playground,1300 S 23RD ST,Building,Recreation Bldg,,3514.501518,0.08068218,19146, , ,,12-Nov-13,Vanessa Miller,PPR,,
480,Shot Tower Recreation Center Building,Shot Tower Playground,Shot Tower Playground,101-31 CARPENTER ST,Building,Recreation Bldg,,7198.220019,0.16524905,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
481,Stinger Square Playground Building,Stinger Square Playground,Stinger Square Playground,1400 S 32ND ST,Building,Recreation Bldg,,1602.069836,0.03677861,19146, , ,,12-Nov-13,Vanessa Miller,PPR,,
482,Donald Finnegan Playground Building,Donald Finnegan Playground,Donald Finnegan Playground,1231 S 30TH ST,Building,Recreation Bldg,,1720.884488,0.03950623,19146, , ,,12-Nov-13,Vanessa Miller,PPR,,
483,Chew Playground Building,Chew Playground,Chew Playground,1800 WASHINGTON AVE,Building,Recreation Bldg,,2484.683349,0.05704071,19146, , ,,12-Nov-13,Vanessa Miller,PPR,,
484,Weccacoe Playground Building,Weccacoe Playground,Weccacoe Playground,405-25 QUEEN ST,Building,Recreation Bldg,,2702.186402,0.06203391,19147, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Queen Village Neighbors Assn,
485,Hawthorne Cultural Center Building,Hawthorne Cultural Center,Hawthorne Cultural Center,1200 CARPENTER ST,Building,Recreation Bldg,,9323.027906,0.21402813,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
486,Kingsessing Recreation Center Building 2,Kingsessing Recreation Center,Kingsessing Recreation Center,4901 KINGSESSING AVE,Building,Recreation Bldg,Historic Building,5663.816847,0.13002386,19143, , ,,12-Nov-13,Vanessa Miller,PPR,,
487,48th & Woodland Playground Building,48th & Woodland Playground,48th & Woodland Playground,4740 WOODLAND AVE,Building,Recreation Bldg,Historic Building,4190.434855,0.09619953,19143, , ,,12-Nov-13,Vanessa Miller,PPR,,
488,Palumbo Recreation Center Building,Palumbo Recreation Center,Palumbo Recreation Center,700 S 09TH ST,Building,Recreation Bldg,,13448.12551,0.30872772,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
489,Kingsessing Recreation Center Building,Kingsessing Recreation Center,Kingsessing Recreation Center,4901 KINGSESSING AVE,Building,Recreation Bldg,Historic Building,14659.01716,0.33652607,19143, , ,,12-Nov-13,Vanessa Miller,PPR,,
490,Marian Anderson Recreation Center,Marian Anderson Recreation Center,Marian Anderson Recreation Center,740 S 17TH ST,Building,Recreation Bldg,,16817.19368,0.38607119,19146, , ,,12-Nov-13,Vanessa Miller,PPR,,
491,Starr Garden Playground Building,Starr Garden Playground,Starr Garden Playground,600-44 LOMBARD ST,Building,Recreation Bldg,,3660.819677,0.08404119,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
492,Seger Playground Building,Seger Playground,Seger Playground,1000-42 LOMBARD ST,Building,Recreation Bldg,,1431.367235,0.0328598,19147, , ,,12-Nov-13,Vanessa Miller,PPR,,
493,I-95 Park Electric Utilities Bldg.,Foglietta Plaza,Foglietta Plaza,109 SPRUCE ST,Building,Garage\Maintenance\Storage Bldg,,127.2472381,0.00292121,19106, , ,,12-Nov-13,Vanessa Miller,PPR,,
494,I-95 Park Electric Utilities Bldg.,Foglietta Plaza,Foglietta Plaza,109 SPRUCE ST,Building,Garage\Maintenance\Storage Bldg,,121.4471258,0.00278805,19106, , ,,12-Nov-13,Vanessa Miller,PPR,,
495,I-95 Park Electric Utilities Bldg.,Foglietta Plaza,Foglietta Plaza,109 SPRUCE ST,Building,Garage\Maintenance\Storage Bldg,,124.9939226,0.00286948,19106, , ,,12-Nov-13,Vanessa Miller,PPR,,
496,I-95 Park Electric Utilities Bldg.,Foglietta Plaza,Foglietta Plaza,109 SPRUCE ST,Building,Garage\Maintenance\Storage Bldg,,112.9535344,0.00259307,19106, , ,,12-Nov-13,Vanessa Miller,PPR,,
497,I-95 Park Electric Utilities Bldg.,Foglietta Plaza,Foglietta Plaza,109 SPRUCE ST,Building,Garage\Maintenance\Storage Bldg,,108.5106746,0.00249107,19106, , ,,12-Nov-13,Vanessa Miller,PPR,,
498,I-95 Park Electric Utilities Bldg.,Foglietta Plaza,Foglietta Plaza,109 SPRUCE ST,Building,Garage\Maintenance\Storage Bldg,,127.1308891,0.00291854,19106, , ,,12-Nov-13,Vanessa Miller,PPR,,
499,I-95 Park Toilet Building,I-95 Park,I-95 Park,109 SPRUCE ST,Building,Garage\Maintenance\Storage Bldg,,1804.679379,0.0414299,19106, , ,,12-Nov-13,Vanessa Miller,PPR,,
